upc,source_product_name,prototype_status
012000018794,"Pepsi Zero Sugar - 12 Pack - Aluminum Cans 144.00 fl oz","Mapped to PEP-PEPSI-ZERO-12PK-12OZ; verify with PepsiCo master data"
012000809958,"Diet Pepsi - Cola - 12 Pack Cans 144.00 fl oz","Mapped to PEP-DIET-PEPSI-12PK-12OZ; verify with PepsiCo master data"
012000809996,"Pepsi - Wild Cherry Cola - 12 Pack Cans 144.00 fl oz","Mapped to PEP-WILD-CHERRY-12PK-12OZ; verify with PepsiCo master data"
012000001307,"Diet Pepsi - Cola 20.00 fl oz","Archive only - not in prototype catalog yet"
012000504051,"Pepsi - Cola - 6 Pack Bottles 101.40 fl oz","Archive only - package does not match current prototype SKU"
012000810022,"Pepsi - Caffeine Free Cola - 12 Pack Cans 144.00 fl oz","Archive only - not in prototype catalog yet"
012000014260,"Pepsi - Cola - 8 Pack Bottles 96.00 fl oz","Archive only - not in prototype catalog yet"
012000100482,"Diet Pepsi Cola Cans, 12 Fluid Ounce (Pack of 36)","Archive only - package does not match current prototype SKU"
012000381232,"Pepsi - Cherry Vanilla Soda - 12 Pack Cans 144.00 fl oz","Archive only - not in prototype catalog yet"
012000008269,"Pepsi - 6 Pack - Plastic Bottles 144.00 fl oz","Archive only - package does not match current prototype SKU"
012000030284,"Pepsi - Cola - Single Can 16.00 fl oz","Archive only - not in prototype catalog yet"
012000620362,"Pepsi - Single Glass Bottle 12.00 fl oz","Archive only - not in prototype catalog yet"
012000000539,"Diet Pepsi - Cola 288.00 fl oz","Archive only - package does not match current prototype SKU"
012000109416,"Pepsi - 4 Pack - Glass Bottles 48.00 fl oz","Archive only - not in prototype catalog yet"
012000591563,"Pepsi - Cola - 8 Pack Mini Cans 60.00 fl oz","Archive only - not in prototype catalog yet"
012000591570,"Diet Pepsi - Cola - 8 Pack Mini Cans 60.00 fl oz","Archive only - not in prototype catalog yet"
012000025853,"Pepsi - Cola - Max Zero Calorie 144.00 fl oz","Archive only - possible legacy Pepsi Max/Zero candidate; verify before mapping"
012000810039,"Diet Pepsi - Caffeine Free Cola - 12 Pack Cans 144.00 fl oz","Archive only - not in prototype catalog yet"
012000810176,"Diet Pepsi - Wild Cherry Cola - 12 Pack Cans 144.00 fl oz","Archive only - not in prototype catalog yet"
012000003417,"Diet Pepsi - Wild Cherry Cola - Single Bottle 67.62 fl oz","Archive only - not in prototype catalog yet"
012000030659,"Pepsi - Soda - Throwback 20.00 fl oz","Archive only - not in prototype catalog yet"
012000151262,"Crystal Pepsi Soda - 20 fl oz Bottle","Archive only - not in prototype catalog yet"
012000000508,"Diet Pepsi - Cola 12.00 fl oz","Archive only - not in prototype catalog yet"
012000003974,"BRADY 123970 Facility Sign, Poly,14 x10 "",Grn/Blk/Wht","Rejected - non-beverage archive mismatch"
012000005596,"Pepsi - Wild Cherry - Single Plastic Bottle 20.00 fl oz","Archive only - not in prototype catalog yet"
012000014307,"Diet Pepsi - Cola - 8 Pack Bottles 96.00 fl oz","Archive only - not in prototype catalog yet"
012000018770,"Pepsi Zero Sugar - 4 Pack - Cans 12.00 fl oz","Archive only - package does not match current prototype SKU"
012000036415,"Pepsi, 7.5 Fl Oz Mini Cans, 24 Pack","Archive only - not in prototype catalog yet"
012000043949,"Pepsi Made with Real Sugar, 7.5 Fl Oz Mini Cans, 24 Pack","Archive only - not in prototype catalog yet"
012000100284,"Pepsi Cola Soda - 6pk/16 fl oz Bottles","Archive only - package does not match current prototype SKU"
012000130502,"Pepsi - Cola - Made with Real Sugar - Vanilla Cans 12.00 ct","Archive only - not in prototype catalog yet"
012000591624,"Pepsi - Cola - Diet Pepsi 48.00 fl oz","Archive only - package does not match current prototype SKU"
012000002946,"Pepsi - Single Plastic Bottle 33.80 fl oz","Archive only - not in prototype catalog yet"
012000003103,"Pepsi - Wild Cherry - Single Can 12.00 fl oz","Archive only - not in prototype catalog yet"
012000006111,"Pepsi Real Sugar Cola - 8pk/12 fl oz Bottles","Archive only - not in prototype catalog yet"
012000008412,"Diet Pepsi - Cola - Diet 144.00 fl oz","Archive only - duplicate/alternate Diet Pepsi 12pk candidate; verify before mapping"
012000130557,"Pepsi - Wild Cherry Bottle Made with Real Sugar 20.00 fl oz","Archive only - not in prototype catalog yet"
012000130601,"Pepsi - Cola - Made with Real Sugar Mini Cans 7.50 fl oz","Archive only - not in prototype catalog yet"
012000141515,"Pepsi True, 10 Fluid Ounce Cans, Pack of 24","Archive only - not in prototype catalog yet"
012000141584,"Pepsi True, 7.5 Fluid Ounce Mini Cans, 24 Count","Archive only - not in prototype catalog yet"
012000150265,"Pepsi Next - Cola 67.60 fl oz","Archive only - not in prototype catalog yet"
012000713019,"12.5 Inch Full / Double Soft Sleeper 6.5 Visco Elastic Memory Foam Mattress Bed Set","Rejected - non-beverage archive mismatch"
012000039119,"Pepsi Diet Soda Can Airplane - Handmade- Wind Spinner-can Art","Rejected - non-beverage archive mismatch"
012000005794,"Diet Pepsi - Wild Cherry - Single Plastic Bottle 20.00 fl oz","Archive only - not in prototype catalog yet"
012000006371,"NEW Delta DPS-200PB-176 C 8*SATA Ports Server Power Supply FAST SHIP#XR","Rejected - non-beverage archive mismatch"
